ID,nama_negara,nama,cabang_olahraga,jumlah_partisipasi_olimpiade,olimpiade_pertama,tahun_lahir
1,united states of america,a'ja wilson,basketball,2,tokyo 2020,1996
2,canada,aaliyah edwards,basketball,2,tokyo 2020,2002
3,canada,aaron brown,athletics,4,london 2012,1992
4,united states of america,aaron cummings,rugby sevens,1,paris 2024,1997
5,austria,aaron fara,judo,1,paris 2024,1997
6,new zealand,aaron gate,cycling track,4,london 2012,1990
7,france,aaron grandidier,rugby sevens,1,paris 2024,2000
8,united states of america,aaron russell,volleyball,2,rio 2016,1993
9,japan,aaron wolf,judo,2,tokyo 2020,1996
10,great britain,abbie wood,swimming,2,tokyo 2020,1999
11,uzbekistan,abbosbek fayzullaev,football,1,paris 2024,2003
12,australia,abby andrews,water polo,2,tokyo 2020,2000
13,morocco,abde ezzalzouli,football,1,paris 2024,2001
14,egypt,abdelrahman abdou,handball,1,paris 2024,1996
15,egypt,abdelrahman elhossiny eissa,volleyball,1,paris 2024,2001
16,egypt,abdelrahman hussein tolba,fencing,1,paris 2024,2007
17,egypt,abdelrahman seoudy,volleyball,1,paris 2024,1997
18,guinea,abdoulaye toure,football,1,paris 2024,1994
19,south africa,abdud dayaan cassiem,hockey,2,tokyo 2020,1998
20,uzbekistan,abdukodir khusanov,football,1,paris 2024,2004
21,japan,abdul hakim sani brown,athletics,2,tokyo 2020,1999
22,ghana,abdul-rasheed saminu,athletics,1,paris 2024,1997
23,united arab emirates,abdullah mohd al marri,equestrian,1,paris 2024,1984
24,saudi arabia,abdullah waleed sharbatly,equestrian,2,london 2012,1982
25,türkiye,abdullah yildirmis,archery,1,paris 2024,2003
26,saudi arabia,abdulrahman alrajhi,equestrian,1,paris 2024,1995
27,uzbekistan,abdurauf buriev,football,1,paris 2024,2002
28,uzbekistan,abduvohid nematov,football,1,paris 2024,2001
29,egypt,abeer ramadan,rhythmic gymnastics,1,paris 2024,2007
30,spain,abel ruiz,football,1,paris 2024,2000
31,spain,abel serdio,handball,1,paris 2024,1994
32,india,abhishek abhishek,hockey,1,paris 2024,1999
33,great britain,abi burton,rugby sevens,2,tokyo 2020,2000
34,kazakhstan,abiba abuzhakynova,judo,1,paris 2024,1997
35,canada,abigail dent,rowing,1,paris 2024,2002
36,ireland,abigail lyle,equestrian,1,paris 2024,1985
37,great britain,abigail martin,artistic gymnastics,1,paris 2024,2008
38,belgium,abigail raye,hockey,1,paris 2024,1991
39,united states of america,abigail tamer,hockey,1,paris 2024,2003
40,kazakhstan,abylaikhan zhubanazar,judo,1,paris 2024,2000
41,morocco,achraf hakimi,football,1,paris 2024,1998
42,jamaica,ackeem blake,athletics,1,paris 2024,2002
43,united states of america,adam channel,rugby sevens,1,paris 2024,1997
44,poland,adam grzegorzewski,equestrian,1,paris 2024,1998
45,hungary,adam jaszo,swimming,1,paris 2024,2002
46,hungary,adam nagy,water polo,1,paris 2024,1998
47,great britain,adam peaty,swimming,3,rio 2016,1994
48,japan,adamyuki baig,handball,2,tokyo 2020,1999
49,israel,adar friedmann,rhythmic gymnastics,1,paris 2024,2006
50,nigeria,adebola adeyeye,basketball,1,paris 2024,1999
51,poland,adela piskorska,swimming,1,paris 2024,2003
52,türkiye,adem asil,artistic gymnastics,2,tokyo 2020,1999
53,egypt,adham moataz,fencing,1,paris 2024,2003
54,fiji,adi vani buleki,rugby sevens,1,paris 2024,2000
55,israel,adi yona,football,1,paris 2024,2004
56,morocco,adil tahif,football,1,paris 2024,2001
57,romania,adina diaconu,table tennis,1,paris 2024,1999
58,mexico,adirem tejeda,rhythmic gymnastics,1,paris 2024,2002
59,mongolia,adiyasuren amarsaikhan,judo,1,paris 2024,2000
60,refugee olympic team,adnan khankan,judo,1,paris 2024,1994
61,spain,adrian bernabe,football,1,paris 2024,2001
62,poland,adrian bogucki,3x3 basketball,1,paris 2024,1999
63,spain,adrian figueras trejo,handball,2,tokyo 2020,1988
64,poland,adrian jaskiewicz,swimming,1,paris 2024,2002
65,romania,adrian munteanu,rowing,2,tokyo 2020,1997
66,hungary,adrian sipos,handball,1,paris 2024,1990
67,united states of america,adrian weinberg,water polo,1,paris 2024,2001
68,poland,adrian wojtkowiak,fencing,1,paris 2024,1998
69,brazil,adriana,football,1,paris 2024,1996
70,romania,adriana adam,rowing,1,paris 2024,1999
71,brazil,adriana cardoso,handball,2,tokyo 2020,1990
72,canada,adriana leon,football,2,tokyo 2020,1992
73,poland,adrianna kakol,canoe sprint,1,paris 2024,2001
74,brazil,adriano fernandes p.x.cavalcante,volleyball,1,paris 2024,2002
75,france,adrien truffert,football,1,paris 2024,2001
76,united states of america,adrienne lyle,equestrian,3,london 2012,1985
77,italy,agnese cocchiere,water polo,1,paris 2024,1999
78,italy,agnese duranti,rhythmic gymnastics,2,tokyo 2020,2000
79,poland,agnieszka korneluk,volleyball,1,paris 2024,1994
80,argentina,agostina alonso,hockey,2,tokyo 2020,1995
81,kenya,agripina kundu,volleyball,2,tokyo 2020,1993
82,argentina,agustin bugallo,hockey,2,tokyo 2020,1995
83,spain,agustin casado,handball,1,paris 2024,1996
84,chile,agustin covarrubias,equestrian,1,paris 2024,1982
85,argentina,agustin fraga,rugby sevens,1,paris 2024,2002
86,argentina,agustin loser,volleyball,2,tokyo 2020,1997
87,argentina,agustin mazzilli,hockey,4,london 2012,1989
88,argentina,agustina albertario,hockey,2,rio 2016,1993
