ID_atlet,ID_pertandingan,medali
1893,1,emas
1030,1,emas
474,1,emas
4641,1,emas
2673,1,perak
4401,1,perak
2139,1,perak
1412,1,perak
4013,1,perunggu
1514,1,perunggu
502,1,perunggu
1297,1,perunggu
3358,1,#4
2243,1,#4
1409,1,#4
4811,1,#4
2950,1,#5
4243,1,#5
996,1,#5
3183,1,#5
1367,1,#6
3157,1,#6
3695,1,#6
62,1,#6
1999,1,#7
710,1,#7
3766,1,#7
1094,1,#7
3469,1,#8
4614,1,#8
1991,1,#8
4741,1,#8
2913,2,emas
1151,2,emas
4179,2,emas
4258,2,emas
4539,2,perak
3953,2,perak
2130,2,perak
1560,2,perak
989,2,perunggu
861,2,perunggu
1598,2,perunggu
3791,2,perunggu
3168,2,#4
2267,2,#4
2201,2,#4
3577,2,#4
185,2,#5
2863,2,#5
412,2,#5
2515,2,#5
4805,2,#6
3211,2,#6
2016,2,#6
2579,2,#6
1038,2,#7
4383,2,#7
201,2,#7
2840,2,#7
2907,2,#8
3311,2,#8
2455,2,#8
1702,2,#8
1924,3,emas
4638,3,emas
4640,3,emas
529,3,perak
4365,3,perak
1925,3,perak
3137,3,perunggu
584,3,perunggu
25,3,perunggu
4615,3,#4
4806,3,#4
4675,3,#4
1014,3,#5
3690,3,#5
4302,3,#5
1341,3,#6
3065,3,#6
165,3,#6
4812,3,#7
818,3,#7
4736,3,#7
4284,3,#8
2181,3,#8
1436,3,#8
3970,3,#9
2088,3,#9
357,3,#9
892,3,#9
4434,3,#9
186,3,#9
1757,3,#9
194,3,#9
969,3,#9
3027,3,#9
681,3,#9
725,3,#9
1718,4,emas
4124,4,emas
4248,4,emas
3703,4,perak
1986,4,perak
4656,4,perak
376,4,perunggu
142,4,perunggu
319,4,perunggu
3712,4,#4
1447,4,#4
2506,4,#4
4704,4,#5
817,4,#5
4482,4,#5
2260,4,#6
3166,4,#6
785,4,#6
1020,4,#7
4263,4,#7
3787,4,#7
388,4,#8
594,4,#8
993,4,#8
2604,4,#9
290,4,#9
733,4,#9
3644,4,#9
3099,4,#9
686,4,#9
4259,4,#9
3493,4,#9
450,4,#9
749,4,#9
739,4,#9
1948,4,#9
920,5,emas
2296,5,emas
4105,5,emas
4283,5,emas
4612,5,emas
4678,5,perak
3884,5,perak
632,5,perak
2005,5,perak
477,5,perunggu
3612,5,perunggu
669,5,perunggu
4229,5,perunggu
1424,5,perunggu
2035,5,#4
1637,5,#4
1878,5,#4
2730,5,#4
3076,5,#4
3360,5,#5
1762,5,#5
1748,5,#5
3719,5,#5
3512,5,#5
4765,5,#6
3403,5,#6
2641,5,#6
2936,5,#6
718,5,#6
3038,5,#7
2662,5,#7
1393,5,#7
3477,5,#7
4272,5,#7
4784,5,#8
3781,5,#8
1353,5,#8
4628,5,#8
3943,5,#8
1359,5,
52,5,
1732,5,
1235,5,
98,5,
2635,5,
2973,5,
1961,5,
742,5,
3372,5,
4356,5,
3419,5,
2041,5,
3753,5,
3591,5,
2716,5,
3459,5,
4399,5,
344,5,
4146,6,emas
1866,6,emas
2077,6,emas
4253,6,emas
1678,6,emas
372,6,perak
231,6,perak
2817,6,perak
1150,6,perak
1518,6,perak
3756,6,perunggu
1865,6,perunggu
2645,6,perunggu
1382,6,perunggu
2150,6,perunggu
549,6,#4
3876,6,#4
1480,6,#4
233,6,#4
37,6,#4
1181,6,#5
744,6,#5
4076,6,#5
505,6,#5
499,6,#5
1706,6,#6
4775,6,#6
3704,6,#6
4708,6,#6
4686,6,#6
311,6,#7
2580,6,#7
274,6,#7
3902,6,#7
347,6,#7
3811,6,#8
1640,6,#8
2810,6,#8
2387,6,#8
2931,6,
3113,6,
889,6,
3274,6,
3210,6,
4413,6,
3961,6,
3336,6,
2575,6,
3965,6,
1048,6,
4768,6,
986,6,
4175,6,
4053,6,
2257,6,
1222,6,
3877,6,
650,6,
1212,6,
1625,7,emas
4734,7,emas
863,7,emas
2619,7,emas
3700,7,emas
606,7,emas
4684,7,emas
4695,7,emas
385,7,perak
1875,7,perak
3103,7,perak
2300,7,perak
495,7,perak
1847,7,perak
950,7,perak
3878,7,perak
4489,7,perunggu
2927,7,perunggu
2584,7,perunggu
3135,7,perunggu
250,7,perunggu
3622,7,perunggu
1797,7,perunggu
619,7,perunggu
2453,7,#4
322,7,#4
288,7,#4
2494,7,#4
3848,7,#4
1305,7,#4
795,7,#4
2504,7,#4
3238,7,#5
3239,7,#5
4509,7,#5
4453,7,#5
516,7,#5
293,7,#5
3004,7,#5
3104,7,#5
4026,7,#6
496,7,#6
2074,7,#6
3743,7,#6
2332,7,#6
867,7,#6
1861,7,#6
1387,7,#6
3769,7,#7
2960,7,#7
3491,7,#7
1829,7,#7
2019,7,#7
2707,7,#7
1972,7,#7
3580,7,#7
2592,7,#8
2969,7,#8
4165,7,#8
1240,7,#8
2695,7,#8
1824,7,#8
1534,7,#8
1404,7,#8
736,7,#9
1479,7,#9
3742,7,#9
2358,7,#9
2870,7,#9
323,7,#9
4819,7,#9
3194,7,#9
1333,7,#10
2898,7,#10
3316,7,#10
294,7,#10
1613,7,#10
3919,7,#10
4177,7,#10
3362,7,#10
1282,8,emas
2573,8,emas
1819,8,emas
1357,8,emas
4544,8,perak
4077,8,perak
684,8,perak
2292,8,perak
2524,8,perunggu
179,8,perunggu
285,8,perunggu
188,8,#4
1661,8,#4
2071,8,#4
3335,8,#4
3771,8,#5
2177,8,#5
4791,8,#5
4234,8,#5
2665,8,#6
1502,8,#6
1110,8,#6
234,8,#6
2798,8,#7
2196,8,#7
2244,8,#7
241,8,#7
3289,8,
2652,8,
1328,8,
280,8,
853,8,
4185,8,
4361,8,
4087,8,
1250,8,
3192,8,
3823,8,
321,8,
3942,8,
1169,8,
1741,8,
3594,8,
777,8,
1532,8,
2602,8,
4691,8,
4616,8,
1918,8,
260,8,
3710,8,
977,8,
4549,8,
637,8,
3133,8,
1929,8,
226,8,
2826,8,
1124,8,
3517,8,
4337,8,
957,8,
2997,8,
266,9,emas
2886,9,emas
657,9,perak
1541,9,perak
1940,9,perunggu
3790,9,perunggu
771,9,#4
2366,9,#4
1314,9,#5
139,9,#5
3795,9,#5
3005,9,#6
430,9,#6
692,9,#7
4592,9,#7
3002,9,#8
2436,9,#8
3175,9,#9
911,9,#9
852,9,#10
4017,9,#10
501,9,#11
882,9,#11
3012,9,#12
3949,9,#12
2295,9,#13
515,9,#13
4651,9,#14
4102,9,#14
2176,9,#15
1993,9,#15
2773,9,#16
3522,9,#16
1830,9,#17
2739,9,#17
1055,9,#18
1608,9,#18
770,9,#19
2488,9,#19
1298,9,#20
3533,9,#20
568,9,#21
3821,9,#21
992,9,#22
3759,9,#22
3094,9,#23
520,9,#23
1160,9,
4583,9,
4255,9,
3693,9,
3,10,emas
1962,10,emas
654,10,emas
333,10,emas
544,10,perak
4092,10,perak
645,10,perak
109,10,perak
1954,10,perunggu
2648,10,perunggu
3373,10,perunggu
4801,10,perunggu
3042,10,#4
2465,10,#4
2642,10,#4
1375,10,#4
3896,10,#5
21,10,#5
4724,10,#5
2390,10,#5
3171,10,#6
1933,10,#6
3892,10,#6
3572,10,#6
4804,10,#8
4803,10,#8
1597,10,#8
1989,10,#8
837,10,
2325,10,
2447,10,
1421,10,
2107,10,
3838,10,
1851,10,
2450,10,
696,10,
4040,10,
42,10,
1937,10,
3499,10,
2377,10,
1938,10,
2286,10,
120,10,
1338,10,
1543,10,
4506,10,
1007,10,
3570,10,
2669,10,
2109,10,
2338,10,
4683,10,
3549,10,
1182,10,
4317,10,
3488,10,
4646,10,
1349,10,
3635,10,
1253,10,
3777,10,
1444,10,
2099,10,
1233,10,
1834,10,
2057,10,
110,10,
2101,10,
573,10,
1802,10,
1734,10,
22,10,
850,11,emas
4544,11,emas
684,11,emas
3732,11,emas
545,11,perak
688,11,perak
421,11,perak
2563,11,perak
179,11,perunggu
3055,11,perunggu
2566,11,perunggu
778,11,perunggu
2071,11,#4
1090,11,#4
2336,11,#4
1388,11,#4
1461,11,#5
4790,11,#5
2738,11,#5
433,11,#5
4756,11,#6
2216,11,#6
1434,11,#6
2328,11,#6
2665,11,#7
4597,11,#7
1110,11,#7
167,11,#7
3603,11,#8
2324,11,#8
773,11,#8
3307,11,#8
3289,11,#9
1511,11,#9
4323,11,#9
1328,11,#9
1077,11,
1316,11,
3942,11,
1741,11,
815,11,
1825,11,
2172,11,
1773,11,
972,11,
2824,11,
3560,11,
2671,11,
1071,11,
3017,11,
1871,11,
2683,11,
1142,11,
1870,11,
4074,11,
3786,11,
1952,11,
2219,11,
