ID,nama_olahraga,nama_pertandingan,jenis_pertandingan
1,3x3 basketball,men,team
2,3x3 basketball,women,team
3,archery,men's team,team
4,archery,women's team,team
5,artistic gymnastics,men's team,team
6,artistic gymnastics,women's team,team
7,artistic swimming,team,team
8,athletics,4 x 400m relay mixed,team
9,athletics,marathon race walk relay mixed,team
10,athletics,men's 4 x 100m relay,team
11,athletics,men's 4 x 400m relay,team
12,athletics,women's 4 x 100m relay,team
13,athletics,women's 4 x 400m relay,team
14,basketball,men,team
15,basketball,women,team
16,canoe sprint,men's kayak four 500m,team
17,canoe sprint,women's kayak four 500m,team
18,cycling track,men's team pursuit,team
19,cycling track,men's team sprint,team
20,cycling track,women's team pursuit,team
21,cycling track,women's team sprint,team
22,equestrian,dressage individual,team
23,equestrian,dressage team,team
24,equestrian,eventing individual,team
25,equestrian,eventing team,team
26,equestrian,jumping individual,team
27,equestrian,jumping team,team
28,fencing,men's épée team,team
29,fencing,men's foil team,team
30,fencing,men's sabre team,team
31,fencing,women's épée team,team
32,fencing,women's foil team,team
33,fencing,women's sabre team,team
34,football,men,team
35,football,women,team
36,handball,men,team
37,handball,women,team
38,hockey,men,team
39,hockey,women,team
40,judo,mixed team,team
41,rhythmic gymnastics,group all-around,team
42,rowing,men's eight,team
43,rowing,men's four,team
44,rowing,men's quadruple sculls,team
45,rowing,women's eight,team
46,rowing,women's four,team
47,rowing,women's quadruple sculls,team
48,rugby sevens,men,team
49,rugby sevens,women,team
50,swimming,men's 4 x 100m freestyle relay,team
51,swimming,men's 4 x 100m medley relay,team
52,swimming,men's 4 x 200m freestyle relay,team
53,swimming,mixed 4 x 100m medley relay,team
54,swimming,women's 4 x 100m freestyle relay,team
55,swimming,women's 4 x 100m medley relay,team
56,swimming,women's 4 x 200m freestyle relay,team
57,table tennis,men's team,team
58,table tennis,women's team,team
59,triathlon,mixed relay,team
60,volleyball,men,team
61,volleyball,women,team
62,water polo,men,team
63,water polo,women,team
64,badminton,men's doubles,team
65,badminton,men's singles,individual
66,badminton,mixed doubles,team
67,badminton,women's doubles,team
68,badminton,women's singles,individual
69,beach volleyball,men,team
70,beach volleyball,women,team
71,boxing,men -80kg,individual
72,boxing,men's 51kg,individual
73,boxing,men's 63.5kg,individual
74,boxing,mens feather (57kg),individual
75,boxing,mens heavy (92kg),individual
76,boxing,mens light middle (71kg),individual
77,boxing,mens super heavy (+92kg),individual
78,boxing,women's 54kg,individual
79,boxing,women's 60kg,individual
80,boxing,womens feather (57kg),individual
81,boxing,womens light fly (50kg),individual
82,boxing,womens middle (75kg),individual
83,boxing,womens welter (66kg),individual
84,breaking,b-boys,individual
85,breaking,b-girls,individual
86,archery,men's individual,individual
87,archery,mixed team,team
88,archery,women's individual,individual
89,artistic gymnastics,men's all-around,individual
90,artistic gymnastics,men's floor exercise,individual
91,artistic gymnastics,men's horizontal bar,individual
92,artistic gymnastics,men's parallel bars,individual
93,artistic gymnastics,men's pommel horse,individual
94,artistic gymnastics,men's rings,individual
95,artistic gymnastics,men's vault,individual
96,artistic gymnastics,women's all-around,individual
97,artistic gymnastics,women's balance beam,individual
98,artistic gymnastics,women's floor exercise,individual
99,artistic gymnastics,women's uneven bars,individual
100,artistic gymnastics,women's vault,individual
101,artistic swimming,duet,team
102,athletics,"men's 10,000m",individual
103,athletics,men's 100m,individual
104,athletics,men's 110m hurdles,individual
105,athletics,men's 1500m,individual
